region,month,season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
west_midlands,1,winter,393.4383343,341.0148065,313.731548,314.3701346,316.0081604,313.8907459,321.1579921,360.1712563,424.658553,522.1063096,756.1433259,1089.00014,1646.739877,2195.372771,2552.178744,2548.866657,2450.829333,2275.616938,2128.689624,1998.909899,1872.361077,1804.240241,1748.841559,1772.87507,1803.6288,1833.014919,1793.620163,1782.038699,1784.716798,1842.190494,1970.855132,2120.280426,2472.91691,2679.344195,2712.97005,2657.843382,2605.78839,2517.044391,2408.28267,2299.485698,2148.869798,2006.274762,1825.157403,1578.930847,1208.360376,887.8491587,633.9660684,481.5779585
west_midlands,2,winter,357.3574456,321.1727234,296.4261535,297.3333951,298.7406103,303.9063146,310.5784288,334.4483498,399.9375695,517.2663029,767.099698,1125.988769,1744.765111,2285.368093,2566.837739,2526.959448,2315.37543,2085.706865,1865.907401,1681.314854,1534.414314,1439.287652,1414.334931,1427.689834,1461.873682,1444.431266,1410.427769,1390.288685,1399.369153,1461.585236,1596.73081,1806.973486,2205.915982,2435.32778,2541.96215,2549.379006,2493.846718,2410.393495,2302.109763,2178.144409,2036.519177,1884.758039,1688.354453,1438.709302,1095.196615,793.4528792,558.748371,427.4580707
west_midlands,3,spring,295.7895675,264.7887938,243.0033056,244.0818661,239.1593014,245.4305474,253.4523034,275.9374048,336.2837651,433.5298324,651.8447544,1021.86154,1582.879405,2118.341343,2349.800891,2278.774235,2026.215614,1778.228414,1519.043418,1313.904513,1171.559067,1086.984363,1055.021451,1063.693869,1081.412167,1053.641332,1031.987247,995.0404173,1007.025976,1059.151448,1182.368046,1345.830876,1680.398382,1914.557824,2050.344438,2103.229539,2152.619247,2089.964975,1975.932552,1878.327558,1757.960755,1617.242269,1461.461681,1258.225015,937.1822061,681.1883249,480.6197867,361.7837768
west_midlands,4,spring,341.7081905,252.4570084,198.4317983,178.4794846,166.1436863,157.6368403,156.9957871,161.9280224,178.5244594,193.0233501,220.7881457,273.9150252,424.8668011,693.8037199,1123.132751,1528.216852,1723.362129,1643.854006,1434.436728,1188.963406,1014.767978,873.5037983,764.9352605,692.8321345,662.5455686,672.8919216,706.2317087,665.5086387,632.3651541,589.7451653,567.131563,595.4411877,678.5076078,776.4696471,974.850577,1119.844863,1159.852773,1165.769546,1204.083092,1212.901916,1251.816336,1251.964303,1248.11637,1147.529031,1020.531473,856.4757199,663.9693221,485.6602353
west_midlands,5,spring,253.8646296,185.3704141,154.5967127,137.1733221,127.2996312,120.6227584,120.2281108,125.9482036,125.6131493,142.2952271,150.5949636,196.2129386,296.2742598,494.8295859,799.9864082,1065.256938,1210.10374,1109.047708,951.2638289,771.5624486,670.2431988,570.7828048,517.166916,471.0101148,454.3736382,459.5422611,505.2124118,491.4150037,460.2314614,433.7707512,419.9651249,437.3364451,488.6289748,559.2230323,711.5076599,830.4816563,842.5661153,852.8115689,849.0337372,837.5189969,825.3009799,813.9023285,803.1772627,781.5522706,715.4326836,611.7904963,492.0458329,359.149215
west_midlands,6,summer,137.9941042,99.68813798,78.88344773,65.25241992,56.65835093,52.468849,54.23600845,50.83733721,48.35022879,49.31019007,59.33394931,79.81467793,132.7871788,193.9161827,338.8557286,470.1468673,521.2864308,512.3478969,438.5236272,383.9504576,355.8277455,324.6987416,297.4149067,278.3218057,265.4278863,254.6917899,293.0248592,278.9955561,265.1330517,243.0172474,227.1182242,225.811686,253.2734952,284.1991376,349.1049366,424.4896603,447.2338085,437.4635692,459.0652059,430.3794879,416.4563974,403.5888332,365.3239616,350.0399067,316.8080781,276.7635516,245.5140356,189.0767775
west_midlands,7,summer,104.3326059,82.05455483,63.85720521,54.95536423,45.89910332,41.96972703,37.51785431,36.1790192,38.244485,41.09633392,46.15755436,60.88358991,117.8269719,147.7439692,237.6373591,362.7656721,385.0643945,363.3388351,321.5612601,294.8804555,283.1898905,254.1130376,228.0601095,213.6252182,205.4675052,210.8098318,231.6223615,212.8376051,196.5896286,181.9624663,177.5459451,174.4978972,199.9147358,226.184931,269.3535947,325.0749087,362.3090779,351.7631725,358.0524917,333.0918505,324.5635217,299.3899381,265.9911125,251.8078876,239.115815,195.5635217,170.5504285,144.6522377
west_midlands,8,summer,95.33641703,71.21273862,53.72940529,43.42107195,39.23546256,37.08406755,32.76009545,33.13781204,32.08671072,34.68865639,39.87863436,53.23226872,96.00638767,117.0713656,195.9734949,294.4567915,333.4704112,313.0031571,309.4253671,278.0297724,264.9823421,235.214978,211.1527533,199.4842511,192.2965125,188.5606094,205.6757342,187.1493025,177.656351,164.6993025,156.8273862,152.1051395,184.0059104,205.3053598,267.7882159,293.3434288,319.7845815,329.0772394,332.1618209,301.3194567,300.0012482,286.2679515,266.8918502,234.6973568,210.436417,176.1939427,155.2752937,122.881975
west_midlands,9,autumn,145.323824,112.0067957,92.26174212,77.6229073,63.3437865,63.19282908,57.96198634,57.13467596,60.23632889,59.47014476,71.76331717,96.4058684,154.7941458,230.470888,431.5425265,621.1961562,697.4774714,642.333876,565.3965243,470.8701731,400.4066117,339.71557,310.2411779,275.7351432,263.1803348,256.7858634,286.5074505,262.45043,248.9441829,231.295827,228.8931795,228.1129792,261.2940927,314.6232259,411.6020246,457.5592326,497.5205111,535.6645666,564.5962907,550.0150073,572.0161399,553.3502991,494.4539341,440.1100768,389.1017591,329.5718331,264.9096733,204.2403639
west_midlands,10,autumn,319.2083195,246.5562695,196.8753726,160.4206465,156.892992,148.947473,143.9440617,155.9947341,169.9716831,190.8971981,240.8454991,341.5294761,512.9677088,758.5727297,1175.306551,1460.650394,1581.547228,1483.972279,1298.721832,1108.599424,951.3972975,820.9421077,743.078658,702.9814201,688.5800159,673.8720276,721.9913228,730.7395178,676.4977479,664.6764258,693.5681592,746.4423727,909.4028946,1067.79072,1302.093495,1438.047394,1508.71958,1558.450553,1561.710671,1468.297576,1407.839173,1302.429357,1207.282109,1096.091177,944.1424124,803.0530569,617.9611181,451.0237133
