timeline_time,timeline_weekday,kw_demand_winter,kw_demand_spring,kw_demand_summer,kw_demand_autumn
14:00,Wed,0.376,0.25,0.14,0.196
14:30,Wed,0.346,0.29,0.164,0.194
15:00,Wed,0.282,0.556,0.21,0.214
15:30,Wed,0.32,0.432,0.19,0.256
16:00,Wed,0.856,0.252,0.162,0.924
16:30,Wed,0.57,0.172,0.166,0.716
17:00,Wed,0.596,0.356,0.224,0.776
17:30,Wed,0.692,0.758,0.15,0.778
18:00,Wed,0.768,2.062,0.166,1.494
18:30,Wed,1.066,0.912,0.206,1.136
19:00,Wed,1.748,0.938,0.198,1.168
19:30,Wed,1.364,0.594,0.15,0.996
20:00,Wed,0.77,1.83,0.16,1.988
20:30,Wed,1.328,1.162,0.216,0.71
21:00,Wed,1.966,0.658,0.144,0.752
21:30,Wed,0.786,0.708,0.16,0.476
22:00,Wed,0.784,0.544,0.19,0.232
22:30,Wed,0.926,0.192,0.196,0.23
23:00,Wed,0.392,0.202,0.142,0.216
23:30,Wed,0.282,0.216,0.16,0.168
00:00,Thu,0.242,0.208,0.216,0.196
00:30,Thu,0.306,0.148,0.15,0.22
01:00,Thu,0.328,0.174,0.158,0.214
01:30,Thu,0.26,0.24,0.19,0.176
02:00,Thu,0.256,0.24,0.2,0.194
02:30,Thu,0.334,0.162,0.136,0.212
03:00,Thu,0.318,0.144,0.16,0.162
03:30,Thu,0.264,0.224,0.218,0.172
04:00,Thu,0.268,0.176,0.156,0.268
04:30,Thu,0.346,0.166,0.158,0.168
05:00,Thu,0.272,0.148,0.18,0.164
05:30,Thu,0.298,0.224,0.212,0.188
06:00,Thu,0.28,0.162,0.136,0.252
06:30,Thu,0.348,0.194,0.158,0.156
07:00,Thu,0.244,0.172,0.216,0.43
07:30,Thu,0.296,1.826,0.164,0.426
08:00,Thu,0.89,0.524,0.154,0.71
08:30,Thu,0.736,0.53,0.17,0.616
09:00,Thu,0.916,0.252,0.21,0.238
09:30,Thu,0.616,0.424,0.12,0.276
10:00,Thu,0.332,0.194,0.164,0.3
10:30,Thu,0.3,0.316,0.214,0.264
11:00,Thu,0.322,0.196,0.17,0.254
11:30,Thu,0.304,0.234,0.168,0.252
12:00,Thu,0.336,0.242,0.172,0.194
12:30,Thu,0.296,0.502,0.222,0.154
13:00,Thu,0.284,0.182,0.132,0.246
13:30,Thu,0.982,0.19,0.164,0.174
14:00,Thu,0.8,0.222,0.216,0.19
14:30,Thu,0.258,0.236,0.182,0.202
15:00,Thu,0.304,0.672,0.166,0.23
15:30,Thu,0.354,0.472,0.17,0.162
16:00,Thu,0.262,0.47,0.216,0.21
16:30,Thu,0.87,0.412,0.132,0.242
17:00,Thu,0.566,0.484,0.16,0.688
17:30,Thu,0.538,0.52,0.208,0.538
18:00,Thu,0.65,1.562,0.184,0.5
18:30,Thu,0.984,0.76,0.156,0.416
19:00,Thu,1.03,0.94,0.166,0.618
19:30,Thu,1.332,0.662,0.218,0.62
20:00,Thu,1.34,2.146,0.14,0.718
20:30,Thu,0.776,0.798,0.16,0.798
21:00,Thu,2.142,0.768,0.206,0.394
21:30,Thu,1.272,0.596,0.19,0.574
22:00,Thu,0.81,0.304,0.15,0.324
22:30,Thu,0.854,0.202,0.166,0.166
23:00,Thu,0.74,0.19,0.222,0.148
23:30,Thu,0.366,0.21,0.146,0.204
