"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Tue 17:30,0.75541,0.86107,0.85162,0.90012,0.94028,0.97639,0.81921,0.72991,0.67888,0.67335,0.62102
Tue 18:00,0.77591,0.86748,0.85296,0.89991,0.93355,0.98443,0.83645,0.74093,0.68116,0.67136,0.62255
Tue 18:30,0.80952,0.8577,0.84739,0.88968,0.93129,0.97999,0.88284,0.7434,0.68229,0.67304,0.61947
Tue 19:00,0.82998,0.83956,0.83164,0.87795,0.92781,0.97195,0.91015,0.75222,0.67965,0.66336,0.61893
Tue 19:30,0.8145,0.81614,0.81018,0.85516,0.91277,0.96864,0.90257,0.75484,0.67519,0.6514,0.60969
Tue 20:00,0.7888,0.78955,0.78595,0.82875,0.88726,0.94989,0.87988,0.7726,0.66954,0.64268,0.60173
Tue 20:30,0.76529,0.76647,0.76615,0.80576,0.86168,0.92878,0.85259,0.78723,0.66681,0.6304,0.60321
Tue 21:00,0.73263,0.73626,0.73544,0.77311,0.82849,0.88782,0.81576,0.76711,0.66795,0.61599,0.60227
Tue 21:30,0.70136,0.70398,0.70701,0.74443,0.79194,0.8499,0.78389,0.73831,0.66849,0.61065,0.60914
Tue 22:00,0.66346,0.66279,0.67174,0.70938,0.74658,0.80084,0.73751,0.69968,0.63964,0.60388,0.59525
Tue 22:30,0.62029,0.62818,0.64035,0.6749,0.70917,0.75706,0.69074,0.66112,0.60303,0.58327,0.56783
Tue 23:00,0.57512,0.59171,0.60877,0.64536,0.66912,0.71085,0.64852,0.61425,0.56006,0.54255,0.52906
Tue 23:30,0.52952,0.55277,0.56741,0.60788,0.62314,0.66518,0.59884,0.56697,0.51301,0.50256,0.49005
Wed 00:00,0.49464,0.52625,0.53647,0.58009,0.59096,0.63644,0.57223,0.53159,0.47972,0.4712,0.45842
Wed 00:30,0.47023,0.51125,0.52384,0.57265,0.58375,0.62655,0.56553,0.49726,0.45042,0.44243,0.43405
Wed 01:00,0.45737,0.50718,0.52363,0.57456,0.58782,0.63615,0.56988,0.48399,0.4343,0.42555,0.41801
Wed 01:30,0.45877,0.49564,0.51102,0.56647,0.58352,0.63231,0.56647,0.49665,0.43632,0.41815,0.40875
Wed 02:00,0.46686,0.48144,0.49229,0.54912,0.57047,0.6179,0.55181,0.5141,0.43958,0.41053,0.40487
Wed 02:30,0.46567,0.47017,0.47622,0.53637,0.56148,0.61075,0.53679,0.51445,0.43563,0.40368,0.39901
Wed 03:00,0.46062,0.46604,0.47126,0.53352,0.56148,0.61231,0.53521,0.51039,0.43026,0.39762,0.39255
Wed 03:30,0.45521,0.45953,0.45833,0.52455,0.55403,0.60589,0.52396,0.50827,0.42722,0.39432,0.39056
Wed 04:00,0.45136,0.45527,0.4469,0.511,0.54234,0.5977,0.51424,0.50524,0.42553,0.39473,0.38989
Wed 04:30,0.45064,0.45318,0.4385,0.5001,0.53565,0.58951,0.50918,0.49791,0.42477,0.39379,0.38948
Wed 05:00,0.45339,0.45777,0.43893,0.49663,0.53727,0.59245,0.50953,0.49656,0.42672,0.38996,0.39331
Wed 05:30,0.46916,0.47237,0.44924,0.50069,0.54588,0.60556,0.52149,0.50696,0.432,0.39631,0.40184
Wed 06:00,0.49269,0.49462,0.46489,0.51045,0.56999,0.629,0.54975,0.52832,0.44602,0.41181,0.41246
Wed 06:30,0.55597,0.5525,0.50515,0.54039,0.63064,0.69277,0.61266,0.58245,0.50013,0.46112,0.45228
Wed 07:00,0.62705,0.60374,0.54384,0.56827,0.69897,0.76282,0.66619,0.62701,0.55421,0.51383,0.49298
Wed 07:30,0.71411,0.65447,0.58867,0.60148,0.78857,0.84467,0.72794,0.68866,0.61897,0.57288,0.53876
Wed 08:00,0.7455,0.69011,0.62492,0.62561,0.83673,0.8733,0.74671,0.72369,0.65253,0.61274,0.56944
Wed 08:30,0.76001,0.71933,0.65933,0.65234,0.85001,0.88367,0.75733,0.74032,0.6657,0.6422,0.59523
Wed 09:00,0.74501,0.73973,0.68525,0.68707,0.84597,0.88095,0.75314,0.7346,0.66072,0.64702,0.61534
Wed 09:30,0.75117,0.75413,0.7013,0.71902,0.85677,0.89752,0.75453,0.73374,0.6706,0.65538,0.62867
Wed 10:00,0.75182,0.76014,0.70827,0.7363,0.85656,0.89752,0.74809,0.72583,0.6754,0.65424,0.63041
Wed 10:30,0.7469,0.76305,0.7089,0.74464,0.84881,0.88933,0.74145,0.71667,0.67815,0.64576,0.62963
Wed 11:00,0.74504,0.76435,0.70184,0.74845,0.83985,0.88082,0.74093,0.71514,0.68192,0.6436,0.63332
Wed 11:30,0.74252,0.76728,0.69407,0.74636,0.83553,0.87471,0.74112,0.71426,0.68407,0.6436,0.6286
Wed 12:00,0.74009,0.77003,0.68743,0.74344,0.83172,0.87142,0.74698,0.71648,0.68171,0.64142,0.62877
Wed 12:30,0.74558,0.77189,0.68162,0.74336,0.83509,0.87242,0.75023,0.71854,0.68234,0.6395,0.62886
Wed 13:00,0.74581,0.76789,0.6744,0.74196,0.83465,0.86536,0.75063,0.71414,0.67982,0.62663,0.62462
Wed 13:30,0.74669,0.76705,0.67004,0.73875,0.83614,0.8618,0.7552,0.71016,0.67494,0.61143,0.6206
Wed 14:00,0.74679,0.76336,0.6647,0.73777,0.83937,0.86164,0.75871,0.70551,0.67203,0.60334,0.6215
Wed 14:30,0.74575,0.76144,0.6631,0.73689,0.84416,0.86987,0.76504,0.70536,0.66895,0.59458,0.6246
Wed 15:00,0.74288,0.7636,0.66388,0.73737,0.84588,0.86817,0.76743,0.70484,0.66442,0.58708,0.62425
Wed 15:30,0.7452,0.76789,0.67283,0.74443,0.84798,0.86985,0.76691,0.70538,0.66355,0.58447,0.62976
Wed 16:00,0.75597,0.7791,0.68732,0.75913,0.87198,0.88943,0.78526,0.71665,0.67358,0.59226,0.63658
Wed 16:30,0.77573,0.80009,0.72679,0.79288,0.90764,0.91199,0.80488,0.73295,0.68979,0.60619,0.64452
Wed 17:00,0.79462,0.83893,0.77195,0.83727,0.94315,0.9346,0.82831,0.75138,0.70308,0.62003,0.65471
Wed 17:30,0.81479,0.88038,0.78647,0.8511,0.95159,0.96499,0.84576,0.76515,0.70974,0.62743,0.66526
Wed 18:00,0.83201,0.88066,0.78381,0.84454,0.94285,0.984,0.85705,0.77034,0.70859,0.62808,0.6691
Wed 18:30,0.8592,0.86918,0.7689,0.82686,0.93818,0.9811,0.88407,0.77595,0.70553,0.62554,0.67149
Wed 19:00,0.86071,0.84907,0.75264,0.79908,0.92842,0.97943,0.9006,0.78161,0.70324,0.62471,0.66748
Wed 19:30,0.84102,0.82845,0.72981,0.76557,0.90757,0.97161,0.8887,0.78609,0.69658,0.61769,0.65106
Wed 20:00,0.81614,0.80005,0.70594,0.72513,0.88147,0.94922,0.87039,0.7977,0.69095,0.61252,0.64235
Wed 20:30,0.78781,0.77271,0.68929,0.6925,0.85317,0.92193,0.84641,0.80547,0.68938,0.60435,0.63177
Wed 21:00,0.7593,0.74212,0.66493,0.65988,0.81815,0.88734,0.81383,0.78172,0.6865,0.59199,0.62106
Wed 21:30,0.7256,0.70978,0.64188,0.63068,0.78258,0.84322,0.77847,0.75555,0.68527,0.5896,0.62462
Wed 22:00,0.67989,0.67132,0.61541,0.603,0.73653,0.79929,0.73668,0.71432,0.66279,0.58201,0.60405
Wed 22:30,0.63767,0.63617,0.59092,0.57757,0.68998,0.75061,0.69344,0.67634,0.62362,0.57278,0.57305
Wed 23:00,0.59749,0.59795,0.57229,0.56877,0.65031,0.7108,0.65326,0.63386,0.58139,0.54225,0.53536
Wed 23:30,0.54917,0.55956,0.54334,0.55384,0.60776,0.66287,0.60856,0.58983,0.5358,0.50157,0.49539
Thu 00:00,0.51251,0.53203,0.5213,0.54891,0.5743,0.63204,0.58007,0.55298,0.50025,0.46751,0.46581
Thu 00:30,0.48433,0.51827,0.51326,0.54963,0.56643,0.62592,0.57405,0.52313,0.47538,0.43948,0.44101
Thu 01:00,0.46774,0.51014,0.51204,0.56236,0.571,0.6316,0.57755,0.51073,0.46016,0.42243,0.42526
Thu 01:30,0.47172,0.49636,0.50178,0.5593,0.56496,0.62957,0.57011,0.51844,0.46047,0.41149,0.41847
Thu 02:00,0.4766,0.48117,0.48161,0.53756,0.55134,0.61918,0.55683,0.535,0.46977,0.40684,0.41308
Thu 02:30,0.47212,0.46722,0.46747,0.51462,0.54028,0.61134,0.54454,0.53521,0.46646,0.4001,0.40657
Thu 03:00,0.46248,0.46164,0.46441,0.50427,0.53968,0.61413,0.53995,0.52876,0.46238,0.39586,0.39955
Thu 03:30,0.45764,0.45479,0.45305,0.48444,0.53291,0.60539,0.52803,0.52246,0.45796,0.39262,0.39649
Thu 04:00,0.45113,0.44683,0.44057,0.46374,0.51743,0.59613,0.51712,0.5186,0.45534,0.39287,0.39454
Thu 04:30,0.45044,0.44654,0.43047,0.4475,0.50825,0.58907,0.51029,0.51448,0.45465,0.39457,0.39714
Thu 05:00,0.44995,0.45182,0.42605,0.44074,0.50819,0.58901,0.50719,0.51433,0.45951,0.39138,0.39941
Thu 05:30,0.46502,0.46583,0.42913,0.43594,0.51852,0.59749,0.51634,0.52417,0.46543,0.3976,0.40523
Thu 06:00,0.48841,0.48483,0.43634,0.43468,0.5429,0.62395,0.54338,0.54372,0.48121,0.41635,0.416
Thu 06:30,0.54898,0.53953,0.45701,0.44258,0.60642,0.68665,0.60034,0.59697,0.53622,0.46667,0.45494
Thu 07:00,0.6167,0.5932,0.47874,0.44872,0.67195,0.75614,0.65537,0.64186,0.59291,0.51737,0.49053
Thu 07:30,0.69769,0.64683,0.5067,0.45496,0.75547,0.83568,0.71891,0.70184,0.65592,0.57707,0.53947
