"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Tue 17:30,0.22023,0.24788,0.32018,0.34753,0.38163,0.57761,0.25715,0.3449,0.097708,0.108,0.083273
Tue 18:00,0.2084,0.24106,0.30118,0.33878,0.34222,0.44339,0.28208,0.34809,0.087505,0.090121,0.068042
Tue 18:30,0.22287,0.55268,0.29313,0.31527,0.3443,0.38697,0.6412,0.36811,0.10681,0.089135,0.059924
Tue 19:00,0.20773,0.59666,0.32966,0.3523,0.45756,0.41074,0.66403,0.37495,0.10167,0.097,0.061309
Tue 19:30,0.22339,0.57875,0.33949,0.36089,0.49266,0.52006,0.65105,0.33869,0.11347,0.08752,0.061496
Tue 20:00,0.25309,0.5255,0.34252,0.36091,0.50821,0.50241,0.6534,0.33424,0.34226,0.091203,0.058782
Tue 20:30,0.17868,0.51776,0.31014,0.33312,0.48963,0.43323,0.63875,,0.33143,0.075766,0.066354
Tue 21:00,0.19094,0.51174,0.68304,0.6497,0.46652,0.4112,0.62457,0.30297,0.34935,0.065057,0.070777
Tue 21:30,0.17081,0.47916,0.66681,0.61391,0.42024,0.48441,0.58329,0.23703,0.35075,0.062789,0.064112
Tue 22:00,0.23082,0.48363,0.65263,0.60296,0.36079,0.49091,0.51321,0.21297,0.34094,0.06248,0.063762
Tue 22:30,0.25772,0.48554,0.61359,0.57619,0.41584,0.37215,0.3992,0.17908,0.33462,0.07074,0.060878
Tue 23:00,0.2937,0.40371,0.57247,0.56043,0.35682,0.33687,0.27931,0.22083,0.33122,0.089243,0.068751
Tue 23:30,0.32514,0.27615,0.57169,0.56408,0.35706,0.3854,0.28461,0.32378,0.37379,0.13501,0.09169
Wed 00:00,0.3788,0.27114,0.61952,0.62839,0.37188,0.42342,0.35129,0.16143,0.16958,0.10683,0.092989
Wed 00:30,0.36447,0.38785,0.52875,0.48581,0.44761,0.45652,0.44567,0.15928,0.21193,0.14354,0.1309
Wed 01:00,0.45852,0.32959,0.44731,0.36087,0.4606,0.47174,0.41242,0.17164,0.2014,0.0844,0.11973
Wed 01:30,0.28295,0.41805,0.39754,0.31945,0.55457,0.60589,0.34771,0.19766,0.20468,0.13478,0.29188
Wed 02:00,0.29908,0.38555,0.45581,0.37769,0.84656,0.77851,0.3398,0.21271,0.25625,0.13671,0.33802
Wed 02:30,0.23475,0.34104,0.47287,0.486,0.67928,0.62751,0.42032,0.21401,0.15507,0.1455,0.32345
Wed 03:00,0.23363,0.29943,0.51422,0.42325,0.57396,0.53025,0.31247,0.3659,0.1317,0.11723,0.32777
Wed 03:30,0.28315,0.28644,0.41971,0.44128,0.56828,0.47432,0.35134,0.36131,0.15089,0.11838,0.27771
Wed 04:00,0.28641,0.23309,0.32758,0.41061,0.55498,0.48864,0.62624,0.37901,0.12655,0.084604,0.26973
Wed 04:30,0.25077,0.2172,0.32312,0.34683,0.56423,0.51651,0.60358,0.18741,0.15732,0.089116,0.30104
Wed 05:00,0.32882,0.19781,0.30762,0.35108,0.59108,0.55532,0.63169,0.19093,0.20575,0.096182,0.31143
Wed 05:30,0.24744,0.2132,0.2826,0.44794,0.61148,0.55659,0.27732,0.19155,0.14486,0.090527,0.31417
Wed 06:00,0.28981,0.27627,0.30895,0.47528,,0.53505,0.27795,0.15034,0.14223,0.10458,0.27707
Wed 06:30,0.22164,0.23639,0.32276,0.41264,0.52438,0.60045,0.34398,0.15982,0.13977,0.138,0.12585
Wed 07:00,0.25963,0.29789,0.41647,0.40242,0.50886,0.5045,0.3223,0.14579,0.12764,0.098156,0.1228
Wed 07:30,0.26321,0.26237,0.3721,0.41681,0.48772,0.42139,0.31164,0.15532,0.12359,0.069103,0.12126
Wed 08:00,0.24339,,0.35746,0.47695,0.39087,0.32486,0.31784,0.14205,0.12754,0.092274,0.095844
Wed 08:30,0.23706,0.28125,0.39472,0.48203,0.47843,0.41224,0.32275,0.15632,0.12752,0.091718,0.13546
Wed 09:00,0.30773,0.26147,0.43106,0.3981,0.72261,0.62867,0.32532,0.16119,0.15318,0.14462,0.13876
