"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Thu 13:30,64.17167,79.49837,73.18527,77.2372,123.4467,120.4247,69.9927,39.89337,29.7542,30.48717,28.4543
Thu 14:00,63.98147,89.7068,76.9912,74.33553,143.862,139.1794,74.27333,40.01463,30.92513,29.16767,22.11997
Thu 14:30,59.35227,76.4779,76.23773,67.38993,147.0491,133.9254,69.70553,39.9203,30.8245,29.30183,29.0136
Thu 15:00,59.0877,66.4039,67.84143,68.24997,129.0784,111.1997,72.78367,35.62597,34.20023,27.9652,23.63833
Thu 15:30,,64.08577,68.7916,61.55343,108.28,84.49897,61.8582,32.50933,27.1598,24.03413,21.69313
Thu 16:00,42.8852,60.25127,78.67323,69.84647,91.67807,88.31127,67.67653,25.3671,25.2674,23.3998,18.88237
Thu 16:30,35.66827,42.4805,66.10573,61.8116,78.55367,82.47393,67.08097,24.38577,24.67663,17.06917,20.04337
Thu 17:00,31.30177,37.47653,52.37363,52.72763,66.19627,62.97217,45.30113,19.9268,26.46007,13.63013,16.84753
Thu 17:30,35.94543,44.17103,55.9027,55.08213,81.47017,85.43207,47.1114,17.9728,23.64613,15.9793,12.52167
Thu 18:00,32.7577,41.04027,55.7271,57.51443,67.10453,69.63817,49.76187,15.9815,19.40217,16.1232,11.28243
Thu 18:30,31.46937,96.2605,47.5495,49.81863,64.36827,54.8518,108.6535,18.2579,18.17687,12.29887,10.89013
Thu 19:00,31.10377,97.0045,54.53707,56.62777,78.28847,64.40497,117.1969,21.3068,21.40117,11.10733,11.68763
Thu 19:30,37.85577,87.53693,57.3657,56.47577,89.4967,70.80827,115.7423,20.99213,19.2112,12.2042,10.5803
Thu 20:00,41.98263,85.78947,57.35293,56.38223,94.41177,74.88973,113.6223,16.88507,60.0907,12.4878,10.90323
Thu 20:30,26.83503,87.2714,53.83943,56.25337,81.0457,72.63443,114.1609,14.37133,59.83967,12.16853,11.0858
Thu 21:00,28.9785,84.22143,105.1814,105.087,79.13127,62.51317,107.7979,14.55987,57.51743,12.9602,11.49903
Thu 21:30,31.04013,84.3748,95.0538,96.23673,62.75587,50.11713,100.818,14.3518,55.38323,12.59883,11.1985
Thu 22:00,38.091,84.1303,95.73097,93.34703,61.76363,50.23103,88.5313,15.8684,57.57777,10.49093,11.7055
Thu 22:30,43.85543,83.81983,94.1357,93.40023,67.5088,52.56857,65.51063,15.76107,56.72087,8.7576,11.0812
Thu 23:00,44.25003,65.8386,92.62463,95.3436,65.87567,58.9022,55.97803,21.2387,61.65267,12.4605,11.5694
Thu 23:30,50.2138,45.24697,92.75933,98.96043,68.07413,71.58143,53.75833,24.0815,64.16253,24.7201,18.94017
Fri 00:00,45.66277,47.75807,99.6509,94.8606,77.8433,70.98597,62.73993,25.3891,30.4674,20.5282,20.24303
Fri 00:30,60.0813,58.4492,79.70593,72.76463,81.82953,66.1555,73.988,29.4704,26.03973,25.5856,25.29867
Fri 01:00,64.89093,55.81883,57.8672,48.1321,78.6939,66.698,60.4348,26.46457,30.9062,23.16123,21.62893
Fri 01:30,,69.09717,54.98083,50.60907,90.12867,83.23943,59.0854,33.62193,30.37117,17.63423,27.49647
Fri 02:00,37.7764,66.7647,60.68853,58.77007,132.1906,117.1105,57.0481,37.244,22.98137,18.39507,27.5468
Fri 02:30,32.6207,57.86073,67.13133,70.97807,114.6005,118.7892,53.46013,27.01973,23.17877,20.81163,19.42697
Fri 03:00,32.2516,49.4218,81.04593,81.80033,76.1034,82.30773,55.2393,25.47107,20.8293,22.20203,15.9749
Fri 03:30,37.62663,45.4507,77.1805,63.58777,69.1825,62.39443,53.60667,26.41187,26.87663,15.8755,15.5106
Fri 04:00,32.487,37.77527,74.25427,55.57947,68.97103,63.0935,107.9125,24.7761,25.80867,16.3156,12.99937
Fri 04:30,31.4122,36.48083,86.95457,67.36883,66.70623,63.5792,106.9174,26.30917,27.9563,13.38843,13.14623
Fri 05:00,30.2863,32.87103,82.5227,69.4297,72.27067,55.6645,100.771,24.5831,26.92787,15.95757,14.773
Fri 05:30,35.02977,37.25127,79.47253,57.1305,80.33163,58.40987,41.2727,31.06173,22.7157,20.79353,17.57837
Fri 06:00,39.7251,44.37917,74.5954,71.1343,85.45937,59.63423,52.3052,27.67257,27.60033,30.35753,20.38247
Fri 06:30,42.6751,47.36067,76.1158,54.40537,95.60147,55.96613,41.5182,29.40397,24.0589,17.33593,14.2705
Fri 07:00,42.9829,35.58793,68.43463,51.9817,91.0598,57.55483,39.4461,20.61147,21.25613,13.94153,14.87623
