"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Sun 05:30,15.162,13.066,18.063,17.148,17.576,17.304,17.356,13.82,13.824,10.704,10.136
Sun 06:00,17.606,13.852,19.918,17.946,19.226,19.184,19.32,16.588,13.432,14.768,11.624
Sun 06:30,20.316,15.424,20.356,19.526,20.338,20.056,20.384,18.528,14.536,15.86,13.608
Sun 07:00,22.688,18.024,19.984,21.208,22.302,22.46,23.68,17.876,17.336,17.916,15.236
Sun 07:30,25.184,21.57,22.758,24.246,25.496,26.252,24.656,22.08,19.788,17.728,17.424
Sun 08:00,26.132,24.73,25.667,26.704,26.754,29.78,27.388,23.328,21.232,18.004,19.6
Sun 08:30,26.814,26.666,29.047,28.856,31.452,30.492,31.672,27.156,24.336,20.268,22.612
Sun 09:00,26.424,27.402,31.202,31.854,34.824,32.24,28.776,27.284,23.864,19.868,21.208
Sun 09:30,26.694,27.394,30.7172,32.524,34.326,30.36,32.764,29.544,25.056,20.016,20.188
Sun 10:00,25.876,28.776,33.3509,33.172,34.488,32.296,32.912,31.1065,22.896,21.156,20.28
Sun 10:30,26.076,28.64,32.434,36.936,37.194,34.528,32.936,31.74,24.936,21.58,19.188
Sun 11:00,27.026,28.226,33.9922,39.922,36.652,32.196,34.436,29.66,25.04,20.488,23.19
Sun 11:30,28.224,30.226,32.2819,38.222,35.602,34.74,39.536,31.392,26.828,20.152,23.044
Sun 12:00,27.588,30.154,33.621,38.166,38.12,34.66,35.088,32.172,25.32,19.0662,21.108
Sun 12:30,27.346,28.366,31.9069,36.906,35.286,31.548,37.244,30.712,25.48,18.4987,21.044
Sun 13:00,28.22,28.368,32.524,38.91,36.652,31.408,35.644,27.78,24.432,17.7415,19.4291
Sun 13:30,27.37,26.674,31.011,38.336,37.062,33.416,33.908,28.888,21.816,16.8,19.412
Sun 14:00,28.052,27.604,32.41,39.074,38.182,32.624,34.528,28.348,24.528,16.2088,19.5634
Sun 14:30,30.102,29.808,34.417,41.024,37.33,32.368,37.384,27.988,26.74,17.9534,20.268
Sun 15:00,32.644,31.494,38.378,43.536,41.332,35.428,37.172,27.516,24.448,18.692,19.752
Sun 15:30,36.622,36.27,42.25,46.756,43.832,38.908,38.748,28.688,25.364,18.332,20.212
Sun 16:00,38.916,42.158,46.1101,51.208,49.884,42.24,38.812,31.48,28.592,19.14,22.22
Sun 16:30,41.734,41.93,46.8169,50.708,52.442,51.676,41.3,30.364,30.756,21.24,24.212
Sun 17:00,40.712,40.402,45.4369,51.976,50.626,52.856,42.848,29.604,32.864,24.576,24.288
Sun 17:30,39.504,40.968,44.8871,49.61,50.636,50.604,41.12,29.448,32.368,23.056,24.036
Sun 18:00,36.682,39.9,41.5969,46.008,47.908,48.92,42.812,31.544,28.804,23.808,23.512
Sun 18:30,34.436,37.298,41.168,45.148,44.76,45.908,42.404,31.832,27.696,22.752,24.252
Sun 19:00,32.38,34.934,40.0108,41.68,43.3,44.788,39.064,32.208,30.668,20.404,25.024
Sun 19:30,30.448,33.446,37.5561,40.234,40.284,42.276,36.872,32.26,28.5,21.344,24.468
Sun 20:00,29.542,31.264,35.563,37.098,39.44,40.136,37.072,29.812,29.004,23.224,26.796
Sun 20:30,26.236,28.924,34.1539,35.89,35.972,37.336,33.268,27.796,28.696,22.78,25.808
Sun 21:00,24.926,26.416,32.065,34.388,33.36,33.528,30.648,25.596,26.148,23.12,24.46
Sun 21:30,22.508,23.916,30.4539,29.362,30.192,30.24,28.776,26.344,24.988,22.28,23.044
Sun 22:00,18.62,20.68,27.191,26.406,26.104,26.276,23.504,23.044,21.652,20.712,19.416
Sun 22:30,16.232,17.612,24.655,22.448,22.456,24.588,19.696,19.904,18.036,18.868,16.016
Sun 23:00,14.9,15.416,22.038,19.906,20.132,20.48,18.92,16.948,14.928,16.432,14.284
Sun 23:30,13.124,14,19.92,17.526,18.266,18.368,17.256,14.988,13.704,14.416,12.72
